id_poliza,id_cobertura,prima_emitida_cobertura
100001,1,91304
100002,1,13695.6
100002,2,196.17399999999998
100002,3,1495.164
100002,4,5903.776999999999
100002,5,1080
100002,6,1800
100003,1,104999.59999999999
100004,1,17499.93333333333
100004,2,300.35859999999997
100004,3,2289.2196000000004
100004,5,1380
100005,1,164347.2
100006,1,164347.2
100007,1,182608
100007,2,2883.6023999999998
100007,3,21977.726400000003
100007,5,14400
100008,1,91304
100009,1,82173.6
100010,1,15217.333333333334
100010,2,228.58599999999998
100010,3,1742.1960000000001
100010,5,1200
100011,1,164347.2
100011,2,2705.4696
100011,3,20620.0656
100011,5,12960
100012,1,209999.19999999998
100012,2,3604.3032
100012,3,27470.635200000004
100012,5,16560
100013,1,91304
100014,1,182608
100014,2,2883.6023999999998
100014,3,21977.726400000003
100014,5,14400
100015,1,164347.2
100015,2,2354.0879999999997
100015,3,17941.968
100015,5,12960
100016,1,164347.2
100017,1,182608
100017,2,3075.144
100017,3,23437.584000000003
100017,5,14400
100018,1,182608
100019,1,182608
100019,2,2743.0319999999997
100019,3,20906.352000000003
100019,5,14400
100020,1,17499.93333333333
100020,2,300.35859999999997
100020,3,2289.2196000000004
100020,4,9039.1703
100020,5,1380
100020,6,2299.9999999999995
100021,1,164347.2
100022,1,182608
100023,1,15217.333333333334
100023,2,228.58599999999998
100023,3,1742.1960000000001
100023,5,1200
100024,1,91304
100025,1,104999.59999999999
100025,2,1802.1516
100025,3,13735.317600000002
100025,5,8280
100026,1,182608
100027,1,104999.59999999999
100028,1,104999.59999999999
100029,1,164347.2
100030,1,164347.2
100030,2,2705.4696
100030,3,20620.0656
100030,4,81420.01079999999
100030,5,12960
100030,6,21600
100031,1,104999.59999999999
100032,1,164347.2
100033,1,164347.2
100033,2,2705.4696
100033,3,20620.0656
100033,4,81420.01079999999
100033,5,12960
100033,6,21600
100034,1,91304
100035,1,164347.2
100036,1,164347.2
100036,2,2705.4696
100036,3,20620.0656
100036,5,12960
100037,1,17499.93333333333
100038,1,15217.333333333334
100039,1,91304
100039,2,1537.572
100039,3,11718.792000000001
100039,5,7200
100040,1,182608
100040,2,2883.6023999999998
100040,3,21977.726400000003
100040,4,86780.8452
100040,5,14400
100040,6,24000
100041,1,104999.59999999999
100041,2,1802.1516
100041,3,13735.317600000002
100041,5,8280
100042,1,182608
100042,2,2812.296
100042,3,21434.256
100042,5,14400
100043,1,15217.333333333334
100044,1,91304
100044,2,1441.8011999999999
100044,3,10988.863200000002
100044,5,7200
100045,1,164347.2
100045,2,2441.9556
100045,3,18611.661600000003
100045,4,73489.6638
100045,5,12960
100045,6,21600
100046,1,182608
100047,1,164347.2
100048,1,182608
100049,1,182608
100050,1,91304
100051,1,15217.333333333334
100051,2,227.84599999999998
100051,3,1736.5560000000003
100051,4,6856.933
100051,5,1200
100051,6,2000
100052,1,13695.6
100053,1,182608
100053,2,2883.6023999999998
100053,3,21977.726400000003
100053,4,86780.8452
100053,5,14400
100053,6,24000
100054,1,164347.2
100055,1,91304
100055,2,1441.8011999999999
100055,3,10988.863200000002
100055,5,7200
100056,1,164347.2
100056,2,2643.9311999999995
100056,3,20151.043200000004
100056,4,79568.0376
100056,5,12960
100056,6,21600
100057,1,82173.6
100058,1,164347.2
100059,1,182608
100060,1,182608
100060,2,3075.144
100060,3,23437.584000000003
100060,4,92545.21199999998
100060,5,14400
100060,6,24000
100061,1,82173.6
100061,2,1220.9778
100061,3,9305.830800000002
100061,5,6480
100062,1,164347.2
100063,1,15217.333333333334
100063,2,228.58599999999998
100063,3,1742.1960000000001
100063,5,1200
100064,1,104999.59999999999
100065,1,13695.6
100065,2,220.32759999999996
100065,3,1679.2536000000002
100065,5,1080
100066,1,164347.2
100066,2,2643.9311999999995
100066,3,20151.043200000004
100066,4,79568.0376
100066,5,12960
100066,6,21600
100067,1,15217.333333333334
100067,2,240.3002
100067,3,1831.4772000000003
100067,4,7231.737099999999
100067,5,1200
100067,6,2000
100068,1,182608
100068,2,2734.1519999999996
100068,3,20838.672000000002
100068,4,82283.196
100068,5,14400
100068,6,24000
100069,1,91304
100070,1,15217.333333333334
100071,1,82173.6
100072,1,91304
100073,1,209999.19999999998
100073,2,3604.3032
100073,3,27470.635200000004
100073,5,16560
100074,1,209999.19999999998
100075,1,209999.19999999998
100076,1,91304
100076,2,1371.5159999999998
100076,3,10453.176000000001
100076,5,7200
100077,1,13695.6
100077,2,220.32759999999996
100077,3,1679.2536000000002
100077,5,1080
100078,1,82173.6
100079,1,104999.59999999999
100080,1,182608
100080,2,2734.1519999999996
100080,3,20838.672000000002
100080,4,82283.196
100080,5,14400
100080,6,24000
100081,1,15217.333333333334
100082,1,82173.6
100082,2,1181.04
100082,3,9001.44
100082,5,6480
100083,1,164347.2
100084,1,164347.2
100084,2,2643.9311999999995
100084,3,20151.043200000004
100084,4,79568.0376
100084,5,12960
100084,6,21600
100085,1,209999.19999999998
100086,1,209999.19999999998
