id_siniestro,id_poliza,id_cobertura,monto_siniestro,fecha_ocurrencia
1,100001,1,319604.74369703606,2014-10-17
2,100003,1,744513.7874606302,2015-07-28
3,100011,1,1835005.6825711343,2015-03-20
4,100015,3,642222.1065613627,2016-04-09
5,100017,1,343197.8154194732,2015-08-31
6,100019,1,1646983.9794110297,2015-08-04
7,100030,1,1933275.413885602,2014-12-16
8,100030,4,314479.9763372195,2015-10-09
9,100033,4,216203.46364177996,2015-04-13
10,100036,3,382315.63441446377,2015-08-11
11,100040,1,342188.0251059802,2015-11-30
12,100045,4,45357.864950350486,2015-10-25
13,100046,1,132804.0570958648,2014-12-17
14,100058,1,1190253.8465972918,2015-08-11
15,100062,1,1393566.034052939,2015-01-19
16,100093,1,2130154.21573157,2015-06-18
17,100095,1,628480.1682515193,2014-11-18
18,100096,1,933826.336422887,2015-05-05
19,100122,1,138861.77130860975,2014-12-01
20,100132,1,301270.7998010083,2015-03-11
21,100134,3,1092839.191449499,2014-10-15
22,100137,1,1493424.2073609652,2015-01-01
23,100142,1,469229.11347141146,2015-09-11
24,100143,1,1595223.2422911983,2015-09-03
25,100144,1,327216.5813681097,2015-04-25
26,100145,1,198585.15188452438,2015-10-25
27,100148,1,595918.6694184348,2014-09-09
28,100148,4,737509.8338709263,2014-10-26
29,100148,4,395639.4333407869,2015-02-10
30,100154,1,55982.7232029587,2016-01-02
31,100156,1,1209243.7228835193,2015-07-06
32,100165,1,651964.6205144695,2016-05-01
33,100172,1,442249.6806939603,2016-03-22
34,100184,1,1922129.1386293035,2016-05-11
35,100187,1,258520.00087076705,2014-12-09
36,100193,1,1464198.4280640807,2015-11-25
37,100194,1,184764.53478488233,2015-03-14
38,100198,1,488986.8887735885,2015-08-03
39,100207,1,779469.1233383775,2014-12-11
40,100210,5,86445.75155340135,2014-09-27
41,100213,1,410016.03699584026,2015-11-20
42,100218,1,313419.6117794182,2015-04-26
43,100226,1,95439.7451390902,2015-03-13
44,100228,1,436544.0806329665,2015-10-01
45,100240,1,326753.49259202415,2016-02-11
46,100249,1,922359.4608086044,2015-04-20
47,100253,4,74369.40495030094,2015-07-04
48,100253,4,532925.8445110653,2014-11-11
49,100258,1,98615.99622909178,2015-08-28
50,100258,1,60072.732312661086,2015-12-18
51,100260,4,48964.47880587025,2015-02-21
52,100267,1,1454977.0462335523,2015-10-17
53,100272,1,422533.11225874367,2015-10-15
54,100277,4,27578.172060681896,2015-08-29
55,100281,4,52580.23163722828,2016-03-29
56,100303,1,5510637.62872316,2015-07-15
57,100303,1,294228.6596146468,2015-05-24
58,100303,1,50392.61629398912,2015-02-24
59,100314,1,892582.0168920535,2015-11-17
60,100321,1,26314.251485214103,2015-04-03
61,100324,3,15209.660787242465,2015-03-23
62,100328,1,735340.1180322658,2014-08-25
63,100328,3,318733.5984935551,2014-07-31
64,100354,1,870315.6919179478,2015-05-18
65,100355,1,423525.96236977726,2015-07-22
66,100357,1,539630.0387099201,2015-05-03
67,100361,1,3131230.566471455,2015-09-01
68,100365,1,829965.3555475998,2015-10-22
69,100365,3,775728.0604510261,2015-10-06
70,100365,4,42984.77786851348,2015-07-25
71,100371,3,33356.13297357224,2015-06-04
72,100371,5,213754.79178936643,2015-06-27
73,100375,1,248215.40353082446,2015-04-22
74,100376,1,519949.9020508065,2016-02-28
75,100380,1,265633.1561638266,2015-03-01
76,100385,1,2435457.0881167683,2015-08-21
77,100387,1,293823.00260549365,2015-03-25
78,100388,5,141223.04546440698,2015-02-04
79,100390,1,913422.81456578,2015-08-15
80,100391,1,820975.2604794329,2014-10-14
81,100403,1,749161.3736489,2014-07-16
82,100414,1,335736.5432670191,2015-07-04
83,100416,1,551945.8539334091,2015-02-02
84,100417,1,1289657.0478758742,2015-01-08
85,100418,1,567951.8667320244,2014-11-15
86,100424,3,124785.05724200665,2015-08-05
87,100439,1,19023.823582883924,2015-10-13
88,100445,3,413410.94378567627,2015-10-05
89,100447,1,502951.1561627923,2015-09-26
90,100456,3,28886.012174176198,2015-07-27
91,100463,1,308366.16128508886,2015-04-09
92,100480,1,154417.5466254931,2015-08-14
93,100480,1,7160.917418202094,2015-01-16
94,100495,1,691530.7096667535,2015-06-24
95,100496,1,47456.42112973239,2015-08-06
96,100498,1,418818.24578057835,2015-02-02
97,100507,1,7575.631499523763,2014-09-06
98,100507,1,1962164.0022641823,2015-06-28
99,100515,4,279620.5151253289,2015-06-02
100,100525,1,378096.7970966818,2015-09-27
101,100527,1,949214.6030524211,2014-10-06
102,100531,1,161782.30732488196,2015-08-09
103,100538,1,1423161.232970745,2015-02-10
104,100542,1,733076.9639765605,2014-11-07
105,100543,3,308787.7168922438,2015-07-17
106,100546,1,557464.8183608281,2015-08-26
107,100559,1,92463.46699517181,2014-08-29
108,100560,1,225025.6025968599,2015-10-01
109,100560,3,30843.814870486167,2015-05-24
